seller_id,total_vendas
4a3ca9315b744ce9f8e9374361493884,302036
4869f7a5dfa277a7dca6462dcf3b52b2,293909
7c67e1448b00f6e969d365cea6b010ab,284180
da8622b14eb17ae2831f4ac5b9dab84a,261955
53243585a1d6dc2643021fd1853d8905,255672
fa1c13f2614d7b5c4749cbc52fecda94,223752
1025f0e2d44d7041d6cf58b6550e0bfa,216151
7e93a43ef30c4f03f38b393420bc753a,202222
6560211a19b47992c3666cc44a7e94c0,192512
1f50f920176fa81dab994f9023523100,187935
7a67c85e85bb2ce8582c35f2203ad736,187399
955fee9216a65b617aa5c0531780ce60,181735
46dc3b2cc0980fb8ec44634e21d2718e,159746
a1043bafd471dff536d0c462352beb48,155063
620c87c171fb2a6dd6e8bb4dec959fc6,152315
cc419e0650a3c5ba77189a1882b7556a,150010
3d871de0142ce09b7081e2b9d1733cb1,141361
7d13fca15225358621be4086e1eb0964,136999
5dceca129747e92ff8ef7a997dc4f8ca,136470
cca3071e3e9bb7d12640c9fbe2301306,105469
edb1ef5e36e0c8cd84eb3c9b003e486d,99259
8581055ce74af1daba164fdbd55a40de,98865
ccc4bbb5f32a6ab2b7066a4130f114e3,91437
f7ba60f8c3f99e7ee4042fdef03b70c4,83362
fe2032dab1a61af8794248c8196565c9,77083
8160255418d5aaa7dbdc9f4c64ebda44,74968
de722cd6dad950a92b7d4f82673f8833,74043
77530e9772f57a62c906e1c21538ab82,73855
25c5c91f63607446a97b143d2d535d31,73340
218d46b86c1881d022bce9c68a7d4b15,72095
f8db351d8c4c4c22c6835c19a46f01b0,71925
17e34d8224d27a541263c4c64b11a56b,71565
7ddcbb64b5bc1ef36ca8c151f6ec77df,68860
04308b1ee57b6625f47df1d56f00eedf,68227
37be5a7c751166fbc5f8ccba4119e043,68204
ceaec5548eefc6e23e6607c5435102e7,67480
522620dcb18a6b31cd7bdf73665113a9,65313
f5a590cf36251cf1162ea35bef76fe84,65170
ea8482cd71df3c1969d7b9473ff13abc,64509
391fc6631aebcf3004804e51b40bcf1e,63559
e882b2a25a10b9c057cc49695f222c19,63396
